Reviewer,Rating,Date,Review
Rev Joestar,1,11/16/2023 22:14,"This app is so half-baked. I made an order at 3 am and the gosend driver was not responding. Can't do anything to report to the Gosend since BK side made the order, and the restaurant can't cancel or do anything either even though it was from an official BK apps. I even had to wait even more to cancel the order. Why did you even launch it and do 24/7 service if you can't handle this kind of problem? I even saw other people have the same issue as me in the reviews. And it's still not fixed."
Yogi Angga,5,11/15/2023 7:03,Mudah dan cepat
REZI PRIMA PUTRA,5,11/15/2023 4:47,THE BEST BURGER KING INDONESIA
Troy,1,11/12/2023 10:11,"Kupon ga bisa terpakai, Ga niat ngasih"
Esteria Susiana Wati,5,11/11/2023 16:27,good
the_ ray's,1,11/11/2023 6:59,Halo kenapa ini saya tidak bisa login & reset password ?? Dibilang email gak terdaftar.. gimana ini ???
Harun Jonatan,1,11/10/2023 17:49,masa yg di diskon menu JR semua...uninstall ah
Lala Lililulu,5,11/10/2023 2:02,Selalu puassss
Syauqi Muhammad,1,11/8/2023 14:44,zionist alliance
zannn joestar,1,11/8/2023 10:43,"kasi diskon yang bagus dong min, gue pelanggan aja kecewa"
Pcla Scorp,5,11/3/2023 16:32,Aplikasinya sering error..
Rafi Adriansyah,1,11/3/2023 15:46,due to they support child and women massacre.
Supremonk,5,11/3/2023 11:04,nice
Andrew Setiawan,1,11/3/2023 7:10,Dari tadi request verification code tidak muncul sama sekali
Indah Nidia S,1,11/2/2023 21:04,"I ordered from BK at 2 am-ish. Driver can't be contacted and it's almost 2h I wait. I tried to contact BK through hotline but it keeps say ""out of operations time"". I can't raise ticket also to gojek because gosend order made by BK, not me. How come you guys provide 24h delivery without 24h CS or hotline to standby just in case smth like this happen? Don't tell me to send email to you, I already did. Just check ur email and cancel my order�. And hey, today is the last time I order from BK�"
Andhika Sitompul,1,11/2/2023 8:55,less free bonuses
Isha Berlian,1,11/1/2023 8:38,Pendukung zionist 
Adi Jayanto,1,10/31/2023 2:57,"Dipaksa install kalo mau dapet promo driver Gojek. Pas tau udah install dari lama, eh si pegawai-nya cemberut. "
Abdul Khodir,1,10/30/2023 9:31,"Too bad this company supports genocide Anyway, the burger is overated and overpriced tho"
Ariyanti Doang,1,10/29/2023 2:38,"Dulu suka, tp sekarang g lagi... Bye bye bk"
Atomy Borneo,1,10/28/2023 6:31,"Sorry for the 1 star. I actually love the products But because of the Bad service of Burger King Alaya Samarinda. Not all employees were bad but I can't stand it anymore. They were the one whose false but they throw the false to the customer. Didn't say sorry. Not once, often. So I have no appetite of burger king any more, even though there're many promotion, because of themselves."
Rizki DwiS,3,10/28/2023 3:32,ga bisa reset password
Little Chick Kalimba,1,10/26/2023 2:17,"Any application experience is good. But the driver makes me badmood bcs he is verbally angry in chat :( Well, I keep tracking by the Goshen API. It says 9 minutes until the driver arrived. It turns our, the driver already arrived 10 minutes before and he is angry bcs I'm not coming as soon as he arrive :((( I'll change the star rating after you give me feedback :("
hayyivira arrabella,5,10/25/2023 6:30,nice restaurant
Peter Dionisius,1,10/21/2023 8:48,"Ga bisa dipake. Bener2 buang waktu. Anak2 keburu kelaparan, sementara mau pilih lokasi di peta aja SELALU jawabnya ""sorry the following items not available"""
Rayza Theo,1,10/20/2023 17:13,"No store are open in the coverage area, even when it just 5 minutes walk from my home.. and its a 24 hours BK store too.. Tried to change my address to the exact location of burger king and still it said no store are open.."
Mr Worldwide,1,10/19/2023 6:29,Cheese burger XL ga ada di menu ada nya Whooper Cheese (emphasis di XL) bintang 1 dulu sampai ditambah di menu baru bintang 5
Pangeran Christian,1,10/15/2023 0:22,"Daftar pake nomor telepon, ntah kenapa forget passwordnya kenapa pake email ya? Jadi gabisa login, jadi uninstall"
Efwandha Yudhono,5,10/13/2023 13:29,Pengiriman menggunakan burger king apps lama banget
jeon mingyu,5,10/13/2023 8:17,promonya bnyaak
